pool_id,status,scores_json,anomalies_json,confidence,cell_confidence_json,photo_path,submitted_at,reviewed_at,reviewed_by
1,approved,"[[null, 5, 5, 3, 4, 5, 4], [0, null, 1, 2, 5, 0, 0], [3, 5, null, 5, 5, 5, 2], [5, 5, 2, null, 5, 4, 0], [5, 1, 2, 3, null, 3, 0], [4, 5, 3, 5, 5, null, 2], [5, 5, 5, 5, 5, 5, null]]","[{""level"": ""info"", ""message"": ""Upset: MASAKI (E25) lost to RAMBHIA (U)""}, {""level"": ""info"", ""message"": ""Upset: MASAKI (E25) lost to PEI (U)""}]",0.0,null,uploads/pool_1_1771221172.HEIC,2026-02-15T21:52:53.073684,2026-02-15T22:10:56.458764,Bout Committee
2,approved,"[[null, 5, 5, 5, 5, 5, 2], [0, null, 5, 2, 3, 1, 5], [0, 4, null, 5, 3, 3, 5], [3, 5, 1, null, 4, 5, 1], [4, 5, 5, 5, null, 5, 3], [1, 5, 5, 2, 4, null, 4], [5, 2, 4, 5, 5, 5, null]]","[{""level"": ""info"", ""message"": ""Upset: BEKDJANOV (E25) lost to HAO (U)""}, {""level"": ""info"", ""message"": ""Upset: KONDOGI (E25) lost to KIM (U)""}, {""level"": ""info"", ""message"": ""Upset: KONDOGI (E25) lost to FISCHER (U)""}, {""level"": ""info"", ""message"": ""Upset: SRIVATSAV (E25) lost to HAO (U)""}]",0.85,null,uploads/pool_2_1771221431.jpg,2026-02-15T21:57:16.759348,2026-02-15T22:12:50.070431,Bout Committee
3,approved,"[[null, 2, 5, 5, 2, 5, 5], [5, null, 2, 1, 5, 5, 5], [4, 5, null, 3, 5, 5, 5], [4, 5, 5, null, 5, 5, 5], [5, 0, 4, 3, null, 4, 5], [1, 3, 0, 4, 5, null, 5], [1, 2, 0, 2, 1, 0, null]]","[{""level"": ""info"", ""message"": ""Upset: KANG (C25) lost to PERERA (U)""}, {""level"": ""info"", ""message"": ""Upset: KANG (E25) lost to PERERA (U)""}, {""level"": ""info"", ""message"": ""Upset: SRIVATSAV (E25) lost to LI (U)""}, {""level"": ""info"", ""message"": ""Upset: KANG (E25) lost to LI (U)""}]",0.85,null,uploads/pool_3_1771221990.jpg,2026-02-15T22:06:36.048138,2026-02-15T22:14:33.601939,Bout Committee
4,approved,"[[null, 2, 0, 4, 1, 5, 2], [5, null, 1, 2, 5, 5, 5], [5, 5, null, 5, 5, 5, 5], [5, 5, 3, null, 3, 5, 5], [5, 4, 4, 5, null, 5, 5], [3, 0, 2, 2, 1, null, 5], [5, 1, 0, 1, 1, 4, null]]","[{""level"": ""info"", ""message"": ""Upset: ZENG (C25) lost to YANG (U)""}, {""level"": ""info"", ""message"": ""Upset: CHAN (E25) lost to YANG (U)""}, {""level"": ""info"", ""message"": ""Upset: AIKMAN (E25) lost to ELSAYED (U)""}, {""level"": ""info"", ""message"": ""Upset: ZENG (C25) lost to ELSAYED (U)""}, {""level"": ""info"", ""message"": ""Upset: CHAN (E25) lost to ELSAYED (U)""}, {""level"": ""info"", ""message"": ""Upset: CHAN (E25) lost to LEE (U)""}]",1.0,null,uploads/pool_4_1771650198.png,2026-02-20T21:03:24.391085,2026-02-20T21:03:42.868384,AI Tournament Agent (Opus 4.6)
5,approved,"[[null, 5, 5, 3, 5, 5, 3], [4, null, 5, 3, 5, 3, 5], [2, 0, null, 5, 1, 5, 1], [5, 5, 3, null, 3, 1, 0], [4, 1, 5, 5, null, 5, 1], [1, 5, 1, 5, 0, null, 2], [5, 4, 5, 5, 5, 5, null]]","[{""level"": ""info"", ""message"": ""Upset: LUC (D24) lost to ORLINO (U)""}, {""level"": ""info"", ""message"": ""Upset: SLOAN (E25) lost to YOUNG (U)""}, {""level"": ""info"", ""message"": ""Upset: ZEYU (C25) lost to YOUNG (U)""}, {""level"": ""info"", ""message"": ""Upset: SLOAN (E25) lost to LO (U)""}]",0.85,null,uploads/pool_5_1771222621.jpg,2026-02-15T22:17:07.474275,2026-02-15T22:21:26.918781,Bout Committee
6,approved,"[[null, 5, 5, 5, 5, 5, 5], [2, null, 5, 5, 5, 5, 5], [3, 3, null, 5, 3, 5, 1], [1, 1, 2, null, 0, 2, 2], [1, 1, 5, 5, null, 5, 5], [0, 1, 0, 5, 3, null, 3], [3, 1, 5, 5, 2, 5, null]]","[{""level"": ""info"", ""message"": ""Upset: LI (C25) lost to GRIGORIEV (D25)""}]",0.85,null,uploads/pool_6_1771222762.jpg,2026-02-15T22:19:27.663098,2026-02-15T22:21:36.683336,Bout Committee
7,approved,"[[null, 2, 2, 5, 5, 5, 5], [5, null, 4, 5, 5, 5, 5], [5, 5, null, 5, 5, 5, 5], [4, 1, 1, null, 5, 5, 5], [0, 2, 2, 0, null, 5, 5], [2, 3, 2, 1, 2, null, 3], [2, 0, 1, 3, 2, 5, null]]","[{""level"": ""info"", ""message"": ""Upset: TSENG (E25) lost to HRISTOV (U)""}]",0.92,null,uploads/pool_7_1771221715.jpg,2026-02-15T22:02:00.487094,2026-02-15T22:23:01.467201,Bout Committee
